ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92132,4,2024,A,Y,0,0,0
92132,4,2024,C,Y,0,0,0
92132,4,2024,I,Y,0,0,0
92132,4,2024,R,Y,0,0,0
92134,4,2024,A,Y,0,0,0
92134,4,2024,C,Y,0,0,0
92134,4,2024,I,Y,0,0,0
92134,4,2024,R,Y,0,0,0
92135,4,2024,A,Y,0,0,0
92135,4,2024,C,Y,0,0,0
92135,4,2024,I,Y,0,0,0
92135,4,2024,R,Y,0,0,0
92136,4,2024,A,Y,0,0,0
92136,4,2024,C,Y,0,0,0
92136,4,2024,I,Y,0,0,0
92136,4,2024,R,Y,0,0,0
92139,4,2024,A,Y,0,0,0
92139,4,2024,C,Y,0,0,0
92139,4,2024,I,Y,0,0,0
92139,4,2024,R,N,1823,343273,188
92145,4,2024,A,Y,0,0,0
92145,4,2024,C,Y,0,0,0
92145,4,2024,I,Y,0,0,0
92145,4,2024,R,Y,0,0,0
92152,4,2024,A,Y,0,0,0
92152,4,2024,C,Y,0,0,0
92152,4,2024,I,Y,0,0,0
92152,4,2024,R,Y,0,0,0
92154,4,2024,A,Y,0,0,0
92154,4,2024,C,Y,585,7934873,13564
92154,4,2024,I,Y,0,0,0
92154,4,2024,R,Y,4697,1180544,251
92155,4,2024,A,Y,0,0,0
92155,4,2024,C,Y,0,0,0
92155,4,2024,I,Y,0,0,0
92155,4,2024,R,Y,0,0,0
92158,4,2024,A,Y,0,0,0
92158,4,2024,C,Y,0,0,0
92158,4,2024,I,Y,0,0,0
92158,4,2024,R,Y,0,0,0
92161,4,2024,A,Y,0,0,0
92161,4,2024,C,Y,0,0,0
92161,4,2024,I,Y,0,0,0
92161,4,2024,R,Y,0,0,0
92173,4,2024,A,Y,0,0,0
92173,4,2024,C,Y,0,0,0
92173,4,2024,I,Y,0,0,0
92173,4,2024,R,N,1144,163279,143
92179,4,2024,A,Y,0,0,0
92179,4,2024,C,Y,0,0,0
92179,4,2024,I,Y,0,0,0
92179,4,2024,R,Y,0,0,0
92182,4,2024,A,Y,0,0,0
92182,4,2024,C,Y,0,0,0
92182,4,2024,I,Y,0,0,0
92182,4,2024,R,Y,0,0,0
92199,4,2024,A,Y,0,0,0
